0 blue 20881 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
20 red 3511 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 412
21 blue 20950 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
21 red 3501 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 404
22 blue 20949 (np.int64(0), np.int64(0), np.int64(951), np.int64(207))
22 red 3478 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 406
23 blue 20973 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
23 red 3460 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 392
24 blue 20973 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
24 red 3473 (np.int64(154), np.int64(18), np.int64(943), np.int64(527)) ncol 392
25 blue 20958 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
25 red 3500 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 395
26 blue 20939 (np.int64(0), np.int64(0), np.int64(877), np.int64(483))
26 red 3382 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 389
27 blue 20945 (np.int64(0), np.int64(0), np.int64(877), np.int64(483))
27 red 3407 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 400
28 blue 20945 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
28 red 3413 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 410
29 blue 20954 (np.int64(0), np.int64(0), np.int64(877), np.int64(483))
29 red 3420 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 394
30 blue 20977 (np.int64(0), np.int64(0), np.int64(877), np.int64(483))
30 red 3407 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 394
31 blue 20965 (np.int64(0), np.int64(0), np.int64(877), np.int64(483))
31 red 3381 (np.int64(154), np.int64(18), np.int64(943), np.int64(525)) ncol 394
32 blue 20963 (np.int64(0), np.int64(0), np.int64(877), np.int64(483))
32 red 3412 (np.int64(0), np.int64(18), np.int64(943), np.int64(525)) ncol 396
33 blue 20836 (np.int64(0), np.int64(0), np.int64(877), np.int64(207))
33 red 3358 (np.int64(0), np.int64(18), np.int64(959), np.int64(481)) ncol 362
34 blue 20760 (np.int64(6), np.int64(0), np.int64(839), np.int64(207))
34 red 3180 (np.int64(156), np.int64(18), np.int64(959), np.int64(481)) ncol 361
35 blue 20746 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
35 red 3209 (np.int64(156), np.int64(18), np.int64(959), np.int64(481)) ncol 361
36 blue 20727 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
36 red 3226 (np.int64(156), np.int64(18), np.int64(959), np.int64(481)) ncol 361
37 blue 20749 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
37 red 3231 (np.int64(156), np.int64(18), np.int64(959), np.int64(481)) ncol 361
38 blue 20731 (np.int64(6), np.int64(0), np.int64(951), np.int64(207))
38 red 3229 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 359
39 blue 20752 (np.int64(6), np.int64(0), np.int64(951), np.int64(207))
39 red 3216 (np.int64(156), np.int64(20), np.int64(959), np.int64(527)) ncol 360
40 blue 20764 (np.int64(6), np.int64(0), np.int64(951), np.int64(207))
40 red 3238 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 361
41 blue 20764 (np.int64(6), np.int64(0), np.int64(951), np.int64(207))
41 red 3264 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 361
42 blue 20715 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
42 red 3217 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 361
43 blue 20715 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
43 red 3221 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 361
44 blue 20713 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
44 red 3225 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 361
45 blue 20700 (np.int64(6), np.int64(0), np.int64(877), np.int64(79))
45 red 3251 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 363
46 blue 20708 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
46 red 3277 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 363
47 blue 20707 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
47 red 4096 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 361
48 blue 20712 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
48 red 6220 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 365
49 blue 20678 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
49 red 8483 (np.int64(156), np.int64(18), np.int64(959), np.int64(527)) ncol 379
50 blue 20699 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
50 red 10362 (np.int64(156), np.int64(18), np.int64(959), np.int64(525)) ncol 379
51 blue 20677 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
51 red 8927 (np.int64(156), np.int64(18), np.int64(959), np.int64(525)) ncol 381
52 blue 20709 (np.int64(6), np.int64(0), np.int64(951), np.int64(207))
52 red 9756 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 398
53 blue 20640 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
53 red 10490 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 400
54 blue 20600 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
54 red 10336 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 403
55 blue 20596 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
55 red 10069 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 402
56 blue 20606 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
56 red 10036 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 429
57 blue 20573 (np.int64(6), np.int64(0), np.int64(877), np.int64(207))
57 red 8747 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 456
58 blue 20610 (np.int64(6), np.int64(0), np.int64(937), np.int64(207))
58 red 7930 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 488
59 blue 20429 (np.int64(6), np.int64(0), np.int64(937), np.int64(207))
59 red 7578 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 476
60 blue 20417 (np.int64(6), np.int64(0), np.int64(937), np.int64(207))
60 red 7923 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 461
61 blue 20565 (np.int64(6), np.int64(0), np.int64(937), np.int64(149))
61 red 7878 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 464
62 blue 20536 (np.int64(6), np.int64(0), np.int64(937), np.int64(149))
62 red 7847 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 471
63 blue 20504 (np.int64(6), np.int64(0), np.int64(937), np.int64(149))
63 red 7393 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 482
64 blue 20518 (np.int64(6), np.int64(0), np.int64(957), np.int64(149))
64 red 7872 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 487
65 blue 20475 (np.int64(6), np.int64(0), np.int64(957), np.int64(149))
65 red 8273 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 513
66 blue 19888 (np.int64(6), np.int64(0), np.int64(957), np.int64(149))
66 red 8324 (np.int64(136), np.int64(18), np.int64(959), np.int64(525)) ncol 509
67 blue 20290 (np.int64(6), np.int64(0), np.int64(957), np.int64(149))
67 red 9020 (np.int64(108), np.int64(18), np.int64(959), np.int64(525)) ncol 493
68 blue 20386 (np.int64(6), np.int64(0), np.int64(957), np.int64(149))
68 red 8469 (np.int64(82), np.int64(18), np.int64(959), np.int64(525)) ncol 459
69 blue 20465 (np.int64(6), np.int64(0), np.int64(957), np.int64(149))
69 red 7498 (np.int64(32), np.int64(18), np.int64(959), np.int64(525)) ncol 469
70 blue 20460 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
70 red 6919 (np.int64(0), np.int64(18), np.int64(959), np.int64(525)) ncol 467
71 blue 20576 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
71 red 5285 (np.int64(0), np.int64(18), np.int64(943), np.int64(525)) ncol 433
72 blue 20755 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
72 red 4427 (np.int64(0), np.int64(18), np.int64(943), np.int64(525)) ncol 400
73 blue 20760 (np.int64(5), np.int64(0), np.int64(959), np.int64(151))
73 red 3449 (np.int64(0), np.int64(20), np.int64(943), np.int64(525)) ncol 369
74 blue 20782 (np.int64(5), np.int64(0), np.int64(959), np.int64(151))
74 red 2961 (np.int64(152), np.int64(20), np.int64(943), np.int64(525)) ncol 336
75 blue 20803 (np.int64(5), np.int64(0), np.int64(959), np.int64(151))
75 red 2955 (np.int64(152), np.int64(20), np.int64(943), np.int64(525)) ncol 335
76 blue 20830 (np.int64(5), np.int64(0), np.int64(959), np.int64(149))
76 red 2964 (np.int64(152), np.int64(20), np.int64(943), np.int64(525)) ncol 335
77 blue 20851 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
77 red 3000 (np.int64(152), np.int64(20), np.int64(941), np.int64(525)) ncol 340
78 blue 20873 (np.int64(5), np.int64(0), np.int64(959), np.int64(151))
78 red 2935 (np.int64(152), np.int64(20), np.int64(941), np.int64(525)) ncol 341
79 blue 20931 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
79 red 2842 (np.int64(154), np.int64(20), np.int64(941), np.int64(525)) ncol 334
80 blue 20963 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
80 red 2909 (np.int64(154), np.int64(20), np.int64(941), np.int64(525)) ncol 337
81 blue 20989 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
81 red 2888 (np.int64(154), np.int64(20), np.int64(941), np.int64(525)) ncol 334
82 blue 21004 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
82 red 2905 (np.int64(154), np.int64(20), np.int64(941), np.int64(525)) ncol 333
83 blue 21010 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
83 red 2860 (np.int64(154), np.int64(20), np.int64(941), np.int64(525)) ncol 337
84 blue 21099 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
84 red 2578 (np.int64(154), np.int64(20), np.int64(941), np.int64(525)) ncol 307
85 blue 21197 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
85 red 2511 (np.int64(154), np.int64(20), np.int64(941), np.int64(483)) ncol 305
86 blue 21202 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
86 red 2561 (np.int64(154), np.int64(20), np.int64(941), np.int64(483)) ncol 314
87 blue 21245 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
87 red 2556 (np.int64(152), np.int64(20), np.int64(941), np.int64(483)) ncol 312
88 blue 21312 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
88 red 2518 (np.int64(152), np.int64(20), np.int64(941), np.int64(483)) ncol 308
89 blue 21330 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
89 red 2509 (np.int64(152), np.int64(20), np.int64(941), np.int64(483)) ncol 307
90 blue 21443 (np.int64(5), np.int64(0), np.int64(957), np.int64(151))
90 red 2515 (np.int64(152), np.int64(20), np.int64(941), np.int64(507)) ncol 304
91 blue 21550 (np.int64(6), np.int64(0), np.int64(877), np.int64(151))
91 red 2457 (np.int64(154), np.int64(20), np.int64(941), np.int64(507)) ncol 301
92 blue 21585 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
92 red 2466 (np.int64(154), np.int64(20), np.int64(941), np.int64(507)) ncol 300
93 blue 21576 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
93 red 2487 (np.int64(154), np.int64(20), np.int64(941), np.int64(507)) ncol 307
94 blue 21571 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
94 red 2491 (np.int64(154), np.int64(20), np.int64(941), np.int64(507)) ncol 306
95 blue 21594 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
95 red 2512 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 306
96 blue 21649 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
96 red 2757 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 323
97 blue 21710 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
97 red 2786 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 331
98 blue 21728 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
98 red 2780 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 331
99 blue 21720 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
99 red 2779 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 331
100 blue 21723 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
100 red 2786 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 331
101 blue 21766 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
101 red 2773 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 329
102 blue 21730 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
102 red 2781 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 330
103 blue 21850 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
103 red 2688 (np.int64(154), np.int64(22), np.int64(941), np.int64(507)) ncol 319
104 blue 21861 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
104 red 2610 (np.int64(154), np.int64(22), np.int64(941), np.int64(507)) ncol 317
105 blue 21734 (np.int64(6), np.int64(0), np.int64(957), np.int64(151))
105 red 2775 (np.int64(154), np.int64(20), np.int64(943), np.int64(507)) ncol 327
106 blue 21726 (np.int64(6), np.int64(0), np.int64(877), np.int64(81))
106 red 2731 (np.int64(154), np.int64(20), np.int64(941), np.int64(507)) ncol 325
107 blue 21833 (np.int64(6), np.int64(0), np.int64(877), np.int64(81))
107 red 2458 (np.int64(154), np.int64(22), np.int64(943), np.int64(507)) ncol 304
108 blue 21844 (np.int64(6), np.int64(0), np.int64(957), np.int64(149))
108 red 2580 (np.int64(154), np.int64(22), np.int64(941), np.int64(507)) ncol 311
109 blue 21587 (np.int64(4), np.int64(0), np.int64(837), np.int64(147))
109 red 2401 (np.int64(154), np.int64(20), np.int64(941), np.int64(482)) ncol 308
110 blue 21747 (np.int64(4), np.int64(0), np.int64(822), np.int64(81))
110 red 2277 (np.int64(154), np.int64(22), np.int64(941), np.int64(483)) ncol 298
111 blue 21819 (np.int64(2), np.int64(0), np.int64(959), np.int64(147))
111 red 2311 (np.int64(154), np.int64(22), np.int64(939), np.int64(483)) ncol 289
112 blue 21587 (np.int64(2), np.int64(0), np.int64(821), np.int64(149))
112 red 2326 (np.int64(154), np.int64(22), np.int64(939), np.int64(483)) ncol 294
113 blue 21377 (np.int64(2), np.int64(0), np.int64(959), np.int64(151))
113 red 2481 (np.int64(152), np.int64(22), np.int64(939), np.int64(483)) ncol 311
114 blue 20866 (np.int64(2), np.int64(0), np.int64(821), np.int64(147))
114 red 1982 (np.int64(154), np.int64(20), np.int64(939), np.int64(353)) ncol 269
115 blue 20466 (np.int64(4), np.int64(0), np.int64(595), np.int64(79))
115 red 2262 (np.int64(154), np.int64(18), np.int64(941), np.int64(351)) ncol 299
116 blue 20220 (np.int64(4), np.int64(0), np.int64(836), np.int64(79))
116 red 2012 (np.int64(152), np.int64(18), np.int64(939), np.int64(351)) ncol 278
117 blue 20148 (np.int64(4), np.int64(0), np.int64(836), np.int64(79))
117 red 2024 (np.int64(152), np.int64(18), np.int64(939), np.int64(481)) ncol 285
118 blue 19970 (np.int64(6), np.int64(0), np.int64(707), np.int64(79))
118 red 1895 (np.int64(154), np.int64(18), np.int64(941), np.int64(351)) ncol 266
119 blue 19433 (np.int64(10), np.int64(0), np.int64(838), np.int64(77))
119 red 2258 (np.int64(156), np.int64(16), np.int64(941), np.int64(349)) ncol 285
