num points in [1100,3000]: 2117
x range: 1648.724404 2998.600328
y range: 40.090842 6474.278695

Local maxima between 1100 and 3000:
x=1649.246  y=6009.428
x=1758.560  y=4481.962
x=1759.215  y=4642.670
x=1760.199  y=4799.315
x=1760.855  y=4513.551
x=1762.171  y=4619.126
x=1763.491  y=4610.883
x=1764.814  y=4669.483
x=1766.472  y=4420.721
x=1767.137  y=4420.434
x=1769.470  y=4424.535
x=1770.808  y=4467.072
x=1771.479  y=4277.163
x=1772.486  y=4332.512
x=1773.159  y=4277.363
x=1774.169  y=4460.118
x=1774.844  y=4339.735
x=1775.519  y=4259.867
x=1776.196  y=4305.050
x=1777.890  y=4251.999
x=1778.570  y=4345.227
x=1779.932  y=4358.497
x=1780.614  y=4425.247
x=1781.638  y=4183.885
x=1783.008  y=4227.828
x=1783.694  y=4503.987
x=1785.758  y=4032.651
x=1786.447  y=3894.396
x=1787.138  y=4049.650
x=1787.829  y=4331.430
x=1788.522  y=4131.831
x=1789.562  y=4237.697
x=1791.300  y=4072.874
x=1792.346  y=4155.632
x=1793.744  y=4176.520
x=1795.495  y=3982.420
x=1797.253  y=4096.815
x=1798.663  y=3910.089
x=1799.370  y=3929.940
x=1800.786  y=4135.354
x=1801.850  y=4058.293
x=1803.629  y=4114.968
x=1804.342  y=4161.356
x=1806.129  y=4406.464
x=1807.921  y=3745.878
x=1809.000  y=3972.455
x=1810.441  y=3861.671
x=1811.163  y=3847.992
x=1812.248  y=3794.765
x=1813.335  y=3779.239
x=1814.061  y=3810.011
x=1814.788  y=3817.593
x=1815.516  y=3926.734
x=1817.706  y=3947.168
x=1818.437  y=3864.699
x=1819.170  y=3799.212
x=1819.904  y=4063.227
x=1821.742  y=3703.091
x=1822.480  y=3701.604
x=1823.218  y=3615.590
x=1824.327  y=3727.476
x=1825.809  y=3782.164
x=1827.295  y=3802.534
x=1828.412  y=3754.806
x=1829.532  y=3617.379
x=1831.403  y=3886.858
x=1832.153  y=3726.019
x=1834.033  y=3673.042
x=1835.164  y=3667.257
x=1837.812  y=3607.924
x=1838.570  y=3715.142
x=1840.853  y=3619.289
x=1841.998  y=3705.081
x=1843.145  y=3463.038
x=1844.295  y=3357.512
x=1845.446  y=3536.747
x=1846.986  y=3398.343
x=1847.757  y=3537.549
x=1848.916  y=3705.374
x=1851.241  y=3226.570
x=1852.018  y=3425.401
x=1853.966  y=3556.023
x=1854.747  y=3502.602
x=1855.920  y=3413.717
x=1856.704  y=3484.004
x=1857.881  y=3475.030
x=1858.667  y=3224.360
x=1859.849  y=3455.153
x=1861.032  y=3213.922
x=1861.823  y=3339.825
x=1863.011  y=3315.377
x=1864.201  y=3452.944
x=1866.590  y=3250.938
x=1867.788  y=3291.088
x=1869.389  y=3263.509
x=1870.191  y=3169.000
x=1870.994  y=3218.898
x=1872.201  y=3273.751
x=1873.007  y=3397.854
x=1873.815  y=3288.449
x=1874.623  y=3329.286
x=1876.243  y=3258.760
x=1878.275  y=3231.969
x=1879.905  y=3021.307
x=1881.540  y=3137.494
x=1883.179  y=3062.253
x=1884.001  y=3146.717
x=1884.824  y=3198.793
x=1886.472  y=3251.933
x=1888.126  y=3124.343
x=1889.369  y=3052.503
x=1890.615  y=3081.281
x=1891.863  y=3255.731
x=1892.697  y=2848.651
x=1894.368  y=3219.278
x=1895.624  y=2920.907
x=1897.724  y=3028.026
x=1899.409  y=2799.482
x=1900.676  y=3222.973
x=1902.370  y=3077.958
x=1903.644  y=2842.514
x=1904.920  y=2865.784
x=1905.772  y=2818.942
x=1906.626  y=2796.149
x=1908.336  y=2934.286
x=1910.052  y=2939.408
x=1911.342  y=2780.311
x=1912.635  y=3005.041
x=1913.498  y=2929.497
x=1915.229  y=2772.429
x=1916.530  y=3003.131
x=1918.269  y=2660.937
x=1919.577  y=2828.053
x=1920.450  y=2891.429
x=1921.325  y=2836.034
x=1922.201  y=2725.105
x=1923.078  y=2749.850
x=1924.396  y=2701.924
x=1925.717  y=2785.415
x=1927.041  y=2853.575
x=1928.368  y=2673.234
x=1929.697  y=2809.136
x=1930.586  y=2650.979
x=1931.475  y=2586.879
x=1933.258  y=2749.228
x=1934.598  y=2686.708
x=1935.941  y=2634.730
x=1937.737  y=2677.643
x=1940.440  y=2364.619
x=1941.344  y=2559.440
x=1942.249  y=2593.296
x=1944.064  y=2754.004
x=1945.428  y=2736.877
x=1946.795  y=2540.818
x=1947.708  y=2544.813
x=1948.623  y=2545.712
x=1949.539  y=2653.769
x=1951.374  y=2479.028
x=1952.294  y=2589.391
x=1953.677  y=2389.291
x=1954.600  y=2611.933
x=1955.988  y=2463.206
x=1957.378  y=2534.795
x=1959.237  y=2548.043
x=1960.635  y=2552.949
x=1962.504  y=2288.542
x=1963.909  y=2497.353
x=1965.318  y=2381.867
x=1966.258  y=2532.885
x=1967.200  y=2479.323
x=1968.144  y=2298.141
x=1969.562  y=2189.680
x=1970.983  y=2489.148
x=1973.358  y=2380.480
x=1974.311  y=2354.555
x=1975.743  y=2350.187
x=1977.178  y=2136.993
x=1979.096  y=2341.436
x=1981.021  y=2390.747
x=1982.468  y=2244.561
x=1983.434  y=2290.319
x=1984.402  y=2332.776
x=1986.828  y=2289.291
x=1987.802  y=2497.864
x=1988.776  y=2323.106
x=1990.241  y=2322.931
x=1993.671  y=2184.234
x=1995.147  y=2374.233
x=1996.133  y=2252.587
x=1997.120  y=2127.841
x=1998.109  y=2240.091
x=1999.099  y=2223.094
x=2000.091  y=2470.391
x=2002.080  y=2105.723
x=2003.575  y=2096.026
x=2005.574  y=1989.366
x=2006.576  y=1963.528
x=2007.579  y=1990.160
x=2009.087  y=2232.873
x=2011.103  y=2308.267
x=2012.619  y=2224.354
x=2014.646  y=2181.949
x=2016.679  y=2032.013
x=2019.741  y=2159.789
x=2020.764  y=2185.451
x=2024.360  y=1971.720
x=2025.907  y=1914.312
x=2027.458  y=2037.776
x=2028.493  y=1875.834
x=2029.531  y=2031.363
x=2031.090  y=2051.268
x=2032.653  y=2050.622
x=2034.219  y=2047.502
x=2036.314  y=2054.337
x=2037.889  y=1902.936
x=2038.941  y=1874.123
x=2039.995  y=1967.013
x=2042.107  y=2034.618
x=2043.166  y=1836.166
x=2044.226  y=1772.804
x=2045.289  y=1846.634
x=2046.352  y=1920.670
x=2047.418  y=1837.302
x=2049.554  y=1846.559
x=2051.697  y=1899.470
x=2053.309  y=1833.559
x=2054.385  y=1962.096
x=2056.003  y=1815.580
x=2057.625  y=1917.835
x=2059.794  y=2098.506
x=2060.881  y=1758.828
x=2062.515  y=1831.858
x=2063.606  y=1834.959
x=2064.699  y=1913.139
x=2065.794  y=1971.211
x=2067.439  y=1701.801
x=2070.190  y=1655.591
x=2071.847  y=1803.928
x=2072.953  y=1827.006
x=2074.061  y=1643.959
x=2075.726  y=1813.599
x=2076.839  y=1699.827
x=2079.070  y=1709.792
x=2080.747  y=1579.644
x=2081.868  y=1593.689
x=2082.990  y=1630.508
x=2084.678  y=1741.321
x=2085.805  y=1670.485
x=2087.499  y=1653.521
x=2090.331  y=1859.280
x=2091.468  y=1692.384
x=2093.176  y=1543.399
x=2096.032  y=1617.048
x=2097.751  y=1731.155
x=2099.474  y=1618.962
x=2101.779  y=1667.500
x=2104.091  y=1601.865
x=2105.250  y=1529.722
x=2106.991  y=1639.862
x=2108.155  y=1490.886
x=2109.904  y=1591.087
x=2111.658  y=1670.361
x=2114.003  y=1495.958
x=2115.766  y=1596.351
x=2117.534  y=1457.432
x=2119.307  y=1458.118
x=2121.084  y=1511.192
x=2122.271  y=1576.841
x=2124.055  y=1402.988
x=2126.441  y=1500.735
x=2128.236  y=1367.492
x=2130.636  y=1569.263
x=2133.044  y=1454.855
x=2136.066  y=1522.875
x=2137.278  y=1620.336
x=2138.492  y=1404.957
x=2140.317  y=1396.711
x=2142.147  y=1439.086
x=2144.594  y=1420.797
x=2146.435  y=1481.047
x=2149.513  y=1493.157
x=2150.748  y=1282.765
x=2151.985  y=1404.640
x=2153.844  y=1374.501
x=2156.331  y=1498.627
x=2158.202  y=1286.005
x=2159.451  y=1251.337
x=2160.703  y=1315.987
x=2161.957  y=1283.864
x=2163.213  y=1216.717
x=2165.102  y=1364.017
x=2166.995  y=1329.707
x=2168.893  y=1313.157
x=2170.161  y=1332.388
x=2172.067  y=1078.305
x=2173.341  y=1169.897
x=2175.255  y=1327.397
x=2176.534  y=1418.590
x=2177.815  y=1306.450
x=2179.741  y=1187.471
x=2181.672  y=1222.907
x=2182.963  y=1111.913
x=2184.255  y=1265.086
x=2185.550  y=1205.772
x=2188.146  y=1157.552
x=2189.447  y=1017.979
x=2191.403  y=1276.539
x=2194.020  y=1070.765
x=2198.621  y=1321.228
x=2199.940  y=1090.108
x=2201.924  y=1108.764
x=2203.250  y=1082.951
x=2204.577  y=1107.299
x=2207.907  y=1273.624
x=2209.912  y=1214.022
x=2211.252  y=1294.274
x=2214.611  y=1353.001
x=2215.959  y=1049.214
x=2218.662  y=1109.665
x=2220.017  y=1087.720
x=2221.374  y=967.783
x=2224.097  y=1133.081
x=2225.461  y=988.241
x=2228.198  y=1091.670
x=2229.570  y=1114.343
x=2233.701  y=1269.600
x=2237.854  y=1053.703
x=2239.244  y=969.602
x=2240.635  y=1239.405
x=2242.030  y=1152.921
x=2243.427  y=1044.475
x=2245.527  y=928.126
x=2247.632  y=986.991
x=2249.039  y=1156.884
x=2252.568  y=1110.634
x=2254.693  y=937.449
x=2256.823  y=1006.049
x=2258.247  y=971.307
x=2260.387  y=1028.446
x=2262.533  y=981.377
x=2264.686  y=880.663
x=2266.123  y=934.195
x=2268.285  y=1031.027
x=2273.353  y=999.580
x=2274.807  y=863.440
x=2276.263  y=950.244
x=2277.722  y=971.952
x=2279.184  y=1003.347
x=2282.116  y=1063.459
x=2284.322  y=797.228
x=2286.534  y=909.099
x=2288.012  y=818.253
x=2290.235  y=925.723
x=2292.463  y=920.207
x=2294.698  y=970.481
x=2296.191  y=1079.714
x=2298.436  y=825.247
x=2299.936  y=886.883
x=2302.192  y=1141.386
x=2304.454  y=897.918
x=2308.997  y=958.387
x=2311.278  y=909.543
x=2312.802  y=783.548
x=2314.329  y=756.302
x=2315.859  y=810.882
x=2317.392  y=873.331
x=2318.928  y=777.341
x=2322.780  y=740.065
x=2325.875  y=986.755
x=2327.427  y=859.932
x=2329.760  y=855.339
x=2331.319  y=974.088
x=2332.881  y=883.996
x=2334.446  y=847.866
x=2336.015  y=792.967
x=2337.586  y=795.552
x=2339.948  y=831.650
x=2341.526  y=1098.362
x=2345.486  y=826.840
x=2347.075  y=959.509
x=2348.667  y=899.927
x=2351.062  y=1021.127
x=2352.661  y=1107.155
x=2354.264  y=913.238
x=2356.675  y=1013.259
x=2360.707  y=1058.839
x=2364.759  y=746.812
x=2368.015  y=823.557
x=2370.465  y=729.345
x=2372.102  y=775.255
x=2374.564  y=876.164
x=2377.034  y=857.406
x=2381.994  y=810.278
x=2384.485  y=793.199
x=2386.150  y=695.566
x=2388.653  y=672.704
x=2392.002  y=867.606
x=2394.523  y=754.463
x=2397.050  y=578.309
x=2399.586  y=644.225
x=2402.129  y=800.858
x=2403.828  y=849.223
x=2407.237  y=528.599
x=2409.803  y=709.882
x=2411.518  y=639.498
x=2414.096  y=647.452
x=2416.682  y=640.983
x=2419.276  y=734.479
x=2421.878  y=664.276
x=2424.488  y=658.997
x=2430.607  y=779.402
x=2434.123  y=842.593
x=2438.538  y=411.159
x=2442.086  y=561.263
x=2444.757  y=707.805
x=2447.435  y=609.229
x=2449.226  y=469.786
x=2451.918  y=634.555
x=2454.618  y=844.706
x=2457.327  y=678.995
x=2460.044  y=702.080
x=2462.770  y=491.850
x=2465.503  y=650.670
x=2469.161  y=509.447
x=2471.915  y=580.892
x=2474.677  y=583.389
x=2478.372  y=530.015
x=2481.154  y=491.737
x=2483.945  y=726.852
x=2487.679  y=513.242
x=2489.552  y=738.379
x=2492.368  y=568.585
x=2495.194  y=604.302
x=2498.974  y=560.890
x=2503.723  y=518.700
x=2506.584  y=308.093
x=2508.496  y=504.791
x=2510.412  y=604.245
x=2515.221  y=528.859
x=2517.151  y=451.594
x=2520.054  y=635.695
x=2522.967  y=519.052
x=2525.888  y=466.033
x=2530.778  y=616.504
x=2533.725  y=552.306
x=2535.694  y=408.175
x=2539.646  y=660.942
x=2543.615  y=587.827
x=2547.600  y=442.188
x=2552.606  y=544.276
x=2554.616  y=573.805
x=2558.649  y=336.259
x=2561.684  y=542.343
x=2564.730  y=490.103
x=2566.766  y=384.898
x=2568.807  y=610.473
x=2572.901  y=561.774
x=2577.012  y=611.167
x=2579.075  y=558.539
x=2582.177  y=350.631
x=2584.251  y=550.806
x=2587.370  y=532.436
x=2593.639  y=610.081
x=2595.738  y=448.757
x=2598.895  y=579.098
x=2602.063  y=519.208
x=2605.240  y=595.576
x=2607.365  y=445.494
x=2612.696  y=560.828
x=2615.909  y=461.212
x=2623.448  y=480.593
x=2626.697  y=497.847
x=2629.957  y=596.547
x=2633.227  y=428.099
x=2635.414  y=479.597
x=2638.703  y=571.547
x=2642.003  y=540.976
x=2645.314  y=421.077
x=2649.746  y=522.387
x=2651.970  y=503.955
x=2654.198  y=579.803
x=2656.432  y=457.145
x=2658.671  y=430.581
x=2660.915  y=546.316
x=2665.417  y=394.146
x=2669.941  y=566.011
x=2674.485  y=336.158
x=2676.764  y=466.261
x=2680.194  y=390.879
x=2683.635  y=447.883
x=2685.935  y=551.135
x=2688.241  y=559.611
x=2690.552  y=558.167
x=2698.684  y=481.381
x=2702.189  y=361.218
x=2706.881  y=408.319
x=2709.235  y=470.461
x=2712.777  y=376.958
x=2716.330  y=601.848
x=2719.897  y=379.865
x=2729.468  y=535.904
x=2731.875  y=493.837
x=2735.496  y=494.700
x=2737.917  y=299.125
x=2741.559  y=532.762
x=2746.436  y=599.670
x=2752.563  y=508.698
x=2757.492  y=338.563
x=2762.443  y=358.791
x=2764.928  y=413.893
x=2768.666  y=312.511
x=2773.672  y=405.149
x=2779.962  y=551.913
x=2786.290  y=330.838
x=2790.104  y=578.308
x=2796.494  y=579.342
x=2800.345  y=499.711
x=2802.921  y=458.036
x=2805.503  y=365.657
x=2808.091  y=493.447
x=2811.986  y=511.984
x=2817.200  y=408.591
x=2819.817  y=352.818
x=2823.754  y=416.117
x=2826.386  y=507.777
x=2829.026  y=449.791
x=2834.323  y=410.931
x=2838.314  y=475.303
x=2840.982  y=448.120
x=2843.657  y=413.399
x=2847.683  y=444.975
x=2851.722  y=557.745
x=2854.424  y=417.665
x=2858.489  y=655.150
x=2862.569  y=547.234
x=2866.665  y=410.259
x=2869.404  y=486.473
x=2872.149  y=395.598
x=2874.902  y=459.856
x=2880.428  y=494.359
x=2883.201  y=399.058
x=2885.981  y=447.359
x=2892.962  y=728.889
x=2895.767  y=524.362
x=2898.579  y=304.732
x=2901.398  y=523.592
x=2907.058  y=628.928
x=2911.321  y=500.533
x=2918.463  y=381.678
x=2922.770  y=600.183
x=2927.094  y=379.661
x=2931.434  y=462.775
x=2935.791  y=505.312
x=2940.165  y=596.372
x=2944.556  y=625.398
x=2950.437  y=708.941
x=2954.867  y=535.749
x=2957.831  y=534.602
x=2962.290  y=557.565
x=2969.761  y=509.789
x=2975.773  y=485.008
x=2978.791  y=558.832
x=2981.816  y=481.082
x=2990.941  y=661.899
x=2995.531  y=443.439

Selected data (x, y) ascending:

--- points with x in (1400,2800) (every 3rd) ---
1648.72, 5950.92
1649.51, 6005.07
1650.29, 6157.27
1651.08, 6302.95
1651.86, 6150.10
1652.65, 6034.85
1653.44, 5773.13
1654.23, 6149.48
1655.02, 6169.06
1655.82, 6225.89
1656.61, 6249.56
1657.41, 6050.92
1658.21, 5737.18
1659.01, 5886.47
1659.81, 6230.74
1660.61, 6124.39
1661.41, 6017.72
1662.22, 5827.55
1663.02, 5990.27
1663.83, 6043.79
1664.64, 5580.04
1665.45, 5973.91
1666.26, 5903.44
1667.07, 6188.08
1667.89, 5529.28
1668.71, 5458.52
1669.52, 5543.75
1670.34, 5924.20
1671.16, 5986.91
1671.98, 5845.83
1672.81, 5929.26
1673.63, 5622.85
1674.46, 5731.85
1675.29, 5665.23
1676.12, 5552.20
1676.95, 5663.15
1677.78, 5398.10
1678.61, 5767.39
1679.45, 5748.37
1680.28, 5444.96
1681.12, 5727.33
1681.96, 5876.15
1682.80, 5839.85
1683.65, 5942.17
1684.49, 5703.48
1685.34, 5640.18
1686.18, 5799.24
1687.03, 5640.18
1687.88, 5783.28
1688.73, 5573.32
1689.59, 5478.73
1690.44, 5387.79
1691.30, 5331.88
1692.15, 5216.44
1693.01, 5548.97
1693.88, 5371.26
1694.74, 5303.55
1695.60, 5659.82
1696.47, 5540.47
1697.33, 5490.70
1698.20, 5557.50
1699.07, 5396.76
1699.94, 4950.69
1700.82, 5185.84
1701.69, 5501.73
1702.57, 5256.54
1703.45, 5413.73
1704.33, 5339.62
1705.21, 5246.66
1706.09, 5096.07
1706.98, 5493.87
1707.86, 5304.22
1708.75, 5222.90
1709.64, 5102.40
1710.53, 5186.46
1711.42, 4905.97
1712.32, 4991.63
1713.21, 5108.96
1714.11, 5098.03
1715.01, 4931.30
1715.91, 4978.85
1716.81, 4956.54
1717.72, 5085.09
1718.62, 4743.91
1719.53, 5094.66
1720.44, 4968.16
1721.35, 5051.03
1722.26, 4945.46
1723.18, 4989.94
1724.09, 4858.10
1725.01, 5040.11
1725.93, 4973.47
1726.85, 4997.23
1727.78, 5034.44
1728.70, 4759.67
1729.63, 4770.38
1730.55, 4753.27
1731.48, 4828.69
1732.41, 4962.98
1733.35, 4818.57
1734.28, 4664.53
1735.22, 4816.57
1736.16, 4852.91
1737.10, 4899.67
1738.04, 4708.44
1738.98, 4838.78
1739.93, 4660.51
1740.88, 4567.79
1741.82, 4905.84
1742.78, 4648.66
1743.73, 4625.03
1744.68, 4660.38
1745.64, 4776.66
1746.60, 4750.16
1747.56, 4633.40
1748.52, 4573.99
1749.48, 4508.46
1750.45, 4295.37
1751.41, 4544.10
1752.38, 4407.25
1753.35, 4570.71
1754.32, 4472.26
1755.30, 4563.15
1756.28, 4348.79
1757.25, 4455.33
1758.23, 4118.79
1759.21, 4642.67
1760.20, 4799.31
1761.18, 4283.10
1762.17, 4619.13
1763.16, 4378.44
1764.15, 4169.22
1765.14, 4609.83
1766.14, 4279.13
1767.14, 4420.43
1768.14, 4329.42
1769.14, 4424.43
1770.14, 4249.79
1771.14, 4199.53
1772.15, 4129.32
1773.16, 4277.36
1774.17, 4460.12
1775.18, 4157.22
1776.20, 4305.05
1777.21, 4098.73
1778.23, 4125.08
1779.25, 4066.11
1780.27, 4338.24
1781.30, 3918.59
1782.32, 4026.10
1783.35, 3907.02
1784.38, 4178.79
1785.41, 3828.03
1786.45, 3894.40
1787.48, 4045.57
1788.52, 4131.83
1789.56, 4237.70
1790.60, 3814.37
1791.65, 3858.27
1792.70, 4066.21
1793.74, 4176.52
1794.79, 3878.19
1795.85, 3793.73
1796.90, 3950.12
1797.96, 3825.11
1799.02, 3880.72
1800.08, 3932.56
1801.14, 3850.75
1802.21, 3980.86
1803.27, 3868.95
1804.34, 4161.36
1805.41, 3997.24
1806.49, 4123.38
1807.56, 3607.83
1808.64, 3863.85
1809.72, 3723.14
1810.80, 3752.37
1811.89, 3762.22
1812.97, 3714.35
1814.06, 3810.01
1815.15, 3778.19
1816.24, 3560.27
1817.34, 3716.65
1818.44, 3864.70
1819.54, 3743.76
1820.64, 3789.01
1821.74, 3703.09
1822.85, 3384.52
1823.96, 3674.88
1825.07, 3465.21
1826.18, 3483.47
1827.30, 3802.53
1828.41, 3754.81
1829.53, 3617.38
1830.65, 3800.35
1831.78, 3622.67
1832.90, 3561.04
1834.03, 3673.04
1835.16, 3667.26
1836.30, 3438.71
1837.43, 3339.74
1838.57, 3715.14
1839.71, 3435.53
1840.85, 3619.29
1842.00, 3705.08
1843.15, 3463.04
1844.29, 3357.51
1845.45, 3536.75
1846.60, 3208.44
1847.76, 3537.55
1848.92, 3705.37
1850.08, 3269.16
1851.24, 3226.57
1852.41, 3277.98
1853.58, 3476.51
1854.75, 3502.60
1855.92, 3413.72
1857.10, 3393.79
1858.27, 3163.29
1859.45, 3214.63
1860.64, 3177.90
1861.82, 3339.82
1863.01, 3315.38
1864.20, 3452.94
1865.39, 3156.70
1866.59, 3250.94
1867.79, 3291.09
1868.99, 3193.39
1870.19, 3169.00
1871.40, 3014.04
1872.60, 3236.43
1873.81, 3288.45
1875.03, 3323.20
1876.24, 3258.76
1877.46, 3129.55
1878.68, 3115.11
1879.90, 3021.31
1881.13, 3010.20
1882.36, 3065.30
1883.59, 2886.28
1884.82, 3198.79
1886.06, 3228.20
1887.30, 2949.66
1888.54, 2992.55
1889.78, 2948.70
1891.03, 2956.91
1892.28, 2681.21
1893.53, 2879.16
1894.79, 2903.29
1896.04, 2808.49
1897.30, 2992.91
1898.57, 2868.23
1899.83, 2720.48
1901.10, 2811.36
1902.37, 3077.96
1903.64, 2842.51
1904.92, 2865.78
1906.20, 2670.87
1907.48, 2599.71
1908.76, 2875.52
1910.05, 2939.41
1911.34, 2780.31
1912.63, 3005.04
1913.93, 2662.36
1915.23, 2772.43
1916.53, 3003.13
1917.83, 2486.28
1919.14, 2523.66
1920.45, 2891.43
1921.76, 2690.80
1923.08, 2749.85
1924.40, 2701.92
1925.72, 2785.41
1927.04, 2853.57
1928.37, 2673.23
1929.70, 2809.14
1931.03, 2554.57
1932.37, 2411.40
1933.70, 2521.94
1935.05, 2591.93
1936.39, 2615.65
1937.74, 2677.64
1939.09, 2481.15
1940.44, 2364.62
1941.80, 2479.92
1943.16, 2393.44
1944.52, 2441.00
1945.88, 2327.51
1947.25, 2306.64
1948.62, 2545.71
1950.00, 2595.47
1951.37, 2479.03
1952.75, 2245.19
1954.14, 2347.93
1955.52, 2441.88
1956.91, 2335.80
1958.31, 2425.58
1959.70, 2360.26
1961.10, 2409.52
1962.50, 2288.54
1963.91, 2497.35
1965.32, 2381.87
1966.73, 2277.38
1968.14, 2298.14
1969.56, 2189.68
1970.98, 2489.15
1972.41, 2349.08
1973.83, 1960.91
1975.27, 2297.33
1976.70, 2047.08
1978.14, 2119.32
1979.58, 2229.87
1981.02, 2390.75
1982.47, 2244.56
1983.92, 1943.97
1985.37, 2130.86
1986.83, 2289.29
1988.29, 2315.03
1989.75, 2316.89
1991.22, 2144.08
1992.69, 1993.85
1994.16, 1972.22
1995.64, 2216.84
1997.12, 2127.84
1998.60, 2118.31
2000.09, 2470.39
2001.58, 1941.76
2003.08, 1955.84
2004.57, 1881.37
2006.07, 1782.13
2007.58, 1990.16
2009.09, 2232.87
2010.60, 2245.41
2012.11, 2091.05
2013.63, 1852.95
2015.15, 2073.71
2016.68, 2032.01
2018.21, 1866.34
2019.74, 2159.79
2021.28, 2040.90
2022.82, 1863.97
2024.36, 1971.72
2025.91, 1914.31
2027.46, 2037.78
2029.01, 1838.90
2030.57, 2035.57
2032.13, 1997.81
2033.70, 2040.60
2035.27, 1596.37
2036.84, 1635.20
2038.41, 1666.01
2039.99, 1967.01
2041.58, 1905.83
2043.17, 1836.17
2044.76, 1755.96
2046.35, 1920.67
2047.95, 1795.42
2049.55, 1846.56
2051.16, 1654.92
2052.77, 1664.42
2054.39, 1962.10
2056.00, 1815.58
2057.63, 1917.83
2059.25, 1689.45
2060.88, 1758.83
2062.51, 1831.86
2064.15, 1590.15
2065.79, 1971.21
2067.44, 1701.80
2069.09, 1519.52
2070.74, 1404.67
2072.40, 1748.47
2074.06, 1643.96
2075.73, 1813.60
2077.40, 1689.65
2079.07, 1709.79
2080.75, 1579.64
2082.43, 1527.24
2084.11, 1686.87
2085.80, 1670.49
2087.50, 1653.52
2089.20, 1536.44
2090.90, 1614.04
2092.61, 1310.88
2094.32, 1282.96
2096.03, 1617.05
2097.75, 1731.15
2099.47, 1618.96
2101.20, 1608.39
2102.93, 1161.95
2104.67, 1336.12
2106.41, 1404.15
2108.16, 1490.89
2109.90, 1591.09
2111.66, 1670.36
2113.42, 1348.07
2115.18, 1348.01
2116.94, 1271.44
2118.72, 1335.29
2120.49, 1238.68
2122.27, 1576.84
2124.06, 1402.99
2125.84, 1391.33
2127.64, 1318.92
2129.43, 1229.19
