count 162029
150528 0.001 0.121
151296 -0.001 0.052
152064 0.005 0.256
152832 0.003 0.236
153600 -0.0 0.06
154368 -0.019 0.26
155136 -0.01 0.253
155904 0.0 0.06
156672 -0.018 0.234
157440 -0.0 0.217
158208 -0.0 0.054
158976 0.007 0.226
159744 0.008 0.227
160512 -0.002 0.068
161280 0.004 0.252
162048 0.01 0.238
162816 0.004 0.052
163584 -0.017 0.24
164352 -0.004 0.217
165120 0.001 0.06
165888 0.009 0.249
166656 -0.01 0.22
167424 0.001 0.053
168192 -0.009 0.245
168960 0.001 0.244
169728 -0.001 0.056
170496 0.007 0.242
171264 0.001 0.231
172032 0.001 0.053
172800 -0.005 0.239
173568 -0.002 0.245
174336 0.0 0.058
175104 0.007 0.232
175872 -0.002 0.199
176640 0.0 0.058
177408 0.008 0.245
178176 0.006 0.206
178944 0.004 0.071
179712 -0.009 0.248
180480 0.001 0.256
181248 -0.001 0.065
182016 0.004 0.244
182784 0.006 0.231
183552 -0.003 0.063
184320 -0.003 0.245
185088 0.001 0.221
185856 0.004 0.052
186624 0.005 0.228
187392 -0.006 0.197
188160 0.0 0.061
188928 -0.015 0.245
189696 0.002 0.242
190464 0.002 0.058
191232 0.005 0.236
192000 0.013 0.24
192768 0.001 0.058
193536 0.014 0.227
194304 0.001 0.189
195072 -0.001 0.062
195840 -0.011 0.256
196608 -0.009 0.205
197376 0.004 0.061
198144 -0.007 0.259
198912 -0.0 0.212
199680 0.001 0.056
200448 0.009 0.185
201216 0.009 0.398
201984 -0.0 0.037
202752 0.002 0.125
203520 0.002 0.129
204288 -0.001 0.045
205056 0.002 0.254
205824 0.002 0.259
206592 -0.002 0.059
207360 0.009 0.226
208128 -0.007 0.209
208896 0.003 0.067
209664 -0.003 0.257
210432 0.001 0.256
211200 -0.001 0.059
211968 -0.001 0.247
212736 0.006 0.238
213504 -0.004 0.064
214272 -0.006 0.237
215040 -0.005 0.228
215808 0.003 0.064
216576 -0.012 0.238
217344 -0.007 0.231
218112 0.001 0.064
218880 0.005 0.242
219648 0.003 0.252
220416 0.004 0.063
221184 -0.001 0.231
221952 0.0 0.231
222720 0.002 0.06
223488 0.01 0.223
224256 -0.006 0.234
225024 0.001 0.059
225792 0.013 0.258
226560 0.007 0.221
227328 0.003 0.06
228096 -0.012 0.241
228864 -0.005 0.241
229632 0.001 0.055
230400 -0.0 0.244
231168 0.014 0.197
231936 -0.0 0.064
232704 0.003 0.253
233472 0.021 0.236
234240 -0.0 0.054
235008 0.017 0.259
235776 0.008 0.217
236544 0.002 0.058
237312 0.003 0.223
238080 -0.015 0.232
238848 -0.0 0.07
239616 0.006 0.228
240384 0.002 0.189
241152 0.005 0.062
241920 -0.018 0.247
242688 -0.006 0.25
243456 0.001 0.056
244224 -0.007 0.255
244992 -0.004 0.241
245760 0.002 0.056
246528 0.002 0.249
247296 -0.005 0.225
248064 -0.001 0.06
248832 0.009 0.2
249600 0.033 0.444
250368 -0.001 0.037
251136 0.01 0.227
251904 0.001 0.219
252672 -0.0 0.062
253440 -0.004 0.242
254208 -0.016 0.249
254976 -0.002 0.057
255744 0.007 0.248
256512 0.004 0.231
257280 -0.001 0.066
258048 -0.012 0.263
258816 0.002 0.25
259584 -0.001 0.062
260352 -0.008 0.235
261120 -0.01 0.242
261888 -0.004 0.061
262656 -0.005 0.249
263424 -0.002 0.251
264192 0.001 0.056
264960 -0.007 0.239
265728 -0.002 0.231
266496 0.001 0.055
267264 0.0 0.231
268032 0.002 0.246
268800 -0.002 0.058
269568 -0.016 0.259
270336 0.002 0.244
271104 0.002 0.047
271872 0.002 0.244
272640 0.0 0.226
273408 0.001 0.068
274176 0.01 0.248
274944 0.009 0.245
275712 0.004 0.064
276480 0.003 0.246
277248 0.009 0.204
278016 -0.0 0.053
278784 -0.003 0.249
279552 0.017 0.246
280320 -0.001 0.058
281088 -0.001 0.235
281856 0.013 0.211
282624 -0.0 0.053
283392 -0.007 0.235
284160 -0.011 0.227
284928 -0.001 0.064
285696 0.007 0.247
286464 -0.018 0.22
287232 0.001 0.059
288000 -0.004 0.227
288768 -0.003 0.231
289536 0.002 0.061
290304 -0.0 0.225
291072 0.007 0.223
291840 -0.003 0.057
292608 -0.001 0.244
293376 -0.0 0.247
294144 0.003 0.058
294912 -0.003 0.238
295680 0.01 0.202
296448 -0.002 0.061
297216 0.015 0.233
297984 0.002 0.212
298752 0.002 0.058
299520 -0.002 0.249
300288 0.013 0.226
301056 0.0 0.062
301824 -0.002 0.245
302592 0.008 0.228
303360 0.002 0.059
304128 0.01 0.242
304896 0.006 0.247
305664 -0.002 0.059
306432 0.009 0.243
307200 0.003 0.2
307968 0.006 0.066
308736 0.008 0.231
309504 -0.003 0.241
310272 0.003 0.056
311040 -0.018 0.235
311808 -0.004 0.228
312576 -0.003 0.06
313344 0.003 0.258
314112 0.013 0.265
314880 -0.002 0.056
315648 0.005 0.227
316416 0.002 0.229
317184 0.001 0.059
317952 0.003 0.23
318720 0.01 0.178
319488 -0.002 0.059
320256 -0.003 0.13
321024 0.009 0.178
321792 0.001 0.056
322560 -0.004 0.244
323328 -0.017 0.317
324096 -0.001 0.053
324864 0.0 0.237
325632 0.007 0.246
326400 -0.001 0.058
327168 -0.007 0.234
327936 -0.013 0.226
328704 -0.002 0.055
329472 -0.008 0.205
330240 0.008 0.318
331008 -0.0 0.076
331776 -0.006 0.259
332544 -0.016 0.255
333312 -0.0 0.055
334080 0.005 0.255
334848 -0.0 0.238
335616 -0.0 0.057
336384 0.006 0.238
337152 0.002 0.243
337920 0.001 0.057
338688 0.025 0.219
339456 0.007 0.207
340224 0.0 0.061
340992 0.005 0.248
341760 0.006 0.247
342528 0.003 0.06
343296 0.0 0.26
344064 -0.001 0.241
344832 0.001 0.06
345600 0.005 0.241
346368 -0.002 0.206
347136 -0.001 0.062
347904 0.004 0.227
348672 -0.003 0.211
349440 0.001 0.059
350208 0.015 0.243
350976 0.001 0.201
351744 0.002 0.054
352512 0.014 0.252
353280 -0.006 0.201
354048 0.002 0.063
354816 0.003 0.247
355584 -0.001 0.246
356352 0.0 0.057
357120 0.01 0.239
357888 0.001 0.194
358656 -0.006 0.068
359424 0.0 0.232
360192 -0.01 0.219
360960 0.002 0.061
361728 0.009 0.261
362496 -0.006 0.215
363264 -0.001 0.061
364032 -0.002 0.247
364800 -0.012 0.241
365568 0.001 0.055
366336 0.006 0.24
367104 0.001 0.219
367872 -0.004 0.051
368640 0.012 0.249
369408 -0.012 0.231
370176 -0.003 0.065
370944 0.009 0.237
371712 -0.004 0.245
372480 0.0 0.069
373248 -0.017 0.248
374016 -0.002 0.247
374784 -0.001 0.058
375552 -0.016 0.264
376320 -0.001 0.236
377088 0.002 0.06
377856 -0.006 0.258
378624 -0.004 0.225
379392 0.004 0.062
380160 -0.01 0.248
380928 -0.01 0.245
381696 -0.002 0.056
382464 0.009 0.234
383232 0.002 0.216
384000 -0.001 0.059
384768 -0.011 0.267
385536 -0.001 0.245
386304 0.001 0.059
387072 -0.008 0.181
387840 -0.008 0.363
388608 -0.003 0.051
389376 0.004 0.236
390144 -0.009 0.237
390912 -0.003 0.06
391680 -0.012 0.238
392448 0.008 0.233
393216 0.003 0.06
393984 0.001 0.242
394752 0.009 0.23
395520 0.002 0.055
396288 -0.001 0.233
397056 0.004 0.224
397824 0.002 0.058
398592 0.015 0.239
399360 0.003 0.216
400128 -0.004 0.059
400896 0.01 0.243
401664 -0.01 0.215
402432 0.001 0.063
403200 0.004 0.233
403968 -0.0 0.211
404736 -0.002 0.058
405504 -0.014 0.244
406272 -0.001 0.22
407040 0.0 0.061
407808 -0.005 0.195
408576 -0.028 0.369
409344 0.001 0.042
410112 0.003 0.25
410880 -0.015 0.245
411648 -0.001 0.056
412416 0.006 0.256
413184 -0.001 0.221
413952 0.002 0.061
414720 0.001 0.238
415488 0.007 0.223
416256 -0.004 0.059
417024 -0.001 0.242
417792 0.005 0.243
418560 0.001 0.061
419328 -0.013 0.219
420096 -0.011 0.216
420864 -0.001 0.062
421632 0.007 0.233
422400 0.017 0.238
423168 -0.004 0.059
423936 0.02 0.252
424704 0.009 0.214
425472 -0.002 0.06
426240 -0.017 0.232
427008 -0.006 0.236
427776 0.0 0.056
428544 0.011 0.242
429312 -0.002 0.249
430080 0.003 0.064
430848 -0.002 0.241
431616 0.0 0.216
432384 -0.004 0.059
433152 0.004 0.268
433920 -0.007 0.231
434688 -0.003 0.062
435456 0.002 0.238
436224 0.002 0.236
436992 -0.002 0.06
437760 -0.004 0.231
438528 0.003 0.206
439296 0.003 0.055
440064 0.007 0.245
440832 0.003 0.233
441600 0.002 0.061
442368 -0.001 0.235
443136 0.001 0.276
443904 0.003 0.065
444672 0.001 0.246
445440 -0.011 0.22
446208 -0.0 0.062
446976 0.0 0.258
447744 0.004 0.231
448512 0.001 0.054
449280 0.01 0.238
450048 0.003 0.227
450816 -0.002 0.057
451584 -0.019 0.247
452352 -0.0 0.212
453120 -0.002 0.053
453888 -0.015 0.243
454656 -0.019 0.238
455424 0.001 0.06
456192 -0.007 0.241
456960 -0.01 0.226
457728 -0.0 0.062
458496 -0.006 0.234
459264 0.005 0.245
460032 0.0 0.06
460800 0.006 0.214
461568 -0.007 0.236
462336 0.001 0.059
463104 -0.004 0.218
463872 0.015 0.199
464640 0.0 0.062
465408 0.017 0.241
466176 0.008 0.213
466944 0.002 0.068
467712 0.016 0.253
468480 0.004 0.248
469248 -0.001 0.062
470016 -0.014 0.238
470784 -0.007 0.236
471552 -0.002 0.061
472320 0.001 0.25
473088 0.003 0.244
473856 0.003 0.053
474624 0.006 0.247
475392 -0.01 0.239
476160 0.004 0.054
476928 0.001 0.239
477696 -0.005 0.228
478464 -0.001 0.057
479232 0.013 0.248
480000 0.016 0.257
480768 -0.002 0.059
481536 -0.012 0.241
482304 -0.002 0.214
483072 -0.002 0.063
483840 0.006 0.232
484608 0.003 0.247
485376 -0.002 0.061
486144 -0.007 0.256
486912 -0.007 0.252
487680 -0.001 0.058
488448 -0.019 0.255
489216 -0.004 0.217
489984 -0.004 0.065
490752 0.008 0.245
491520 0.011 0.222
492288 -0.0 0.057
493056 0.005 0.217
493824 0.011 0.37
494592 -0.0 0.046
495360 -0.01 0.255
496128 0.006 0.248
496896 0.003 0.063
497664 0.001 0.241
498432 -0.001 0.252
499200 0.001 0.059
499968 0.0 0.249
500736 -0.012 0.218
501504 -0.0 0.058
502272 0.011 0.253
503040 -0.006 0.242
503808 0.005 0.058
504576 -0.004 0.251
505344 -0.001 0.21
506112 0.003 0.057
506880 0.006 0.25
507648 -0.002 0.252
508416 0.002 0.06
509184 -0.005 0.231
509952 -0.001 0.219
510720 -0.001 0.054
511488 0.003 0.247
512256 -0.002 0.233
513024 0.001 0.057
513792 -0.012 0.24
514560 -0.002 0.238
515328 -0.001 0.055
516096 -0.009 0.255
516864 -0.004 0.189
517632 -0.0 0.061
518400 0.001 0.211
519168 -0.001 0.195
519936 0.001 0.06
520704 0.016 0.24
521472 0.002 0.248
522240 -0.002 0.062
523008 0.002 0.243
523776 0.007 0.246
524544 -0.0 0.062
525312 0.0 0.235
526080 -0.003 0.236
526848 -0.002 0.058
527616 -0.017 0.262
528384 0.002 0.243
529152 0.0 0.061
529920 0.004 0.242
530688 0.011 0.236
531456 -0.003 0.058
532224 -0.007 0.236
532992 0.01 0.245
533760 -0.006 0.058
534528 0.01 0.236
535296 0.006 0.226
536064 -0.001 0.06
536832 -0.013 0.226
537600 -0.004 0.244
538368 0.0 0.065
539136 -0.007 0.236
539904 0.009 0.217
540672 0.001 0.055
541440 -0.002 0.242
542208 0.0 0.237
542976 -0.002 0.065
543744 -0.003 0.248
544512 0.001 0.214
545280 -0.001 0.065
546048 0.005 0.247
546816 0.005 0.247
547584 -0.001 0.052
548352 -0.009 0.25
549120 0.003 0.253
549888 -0.004 0.057
550656 0.001 0.239
551424 -0.004 0.181
552192 0.004 0.06
552960 0.0 0.237
553728 0.006 0.218
554496 -0.001 0.056
555264 0.002 0.249
556032 0.007 0.207
556800 0.002 0.061
557568 0.001 0.213
558336 0.009 0.181
559104 -0.002 0.058
559872 -0.007 0.229
560640 -0.017 0.223
561408 0.004 0.056
562176 -0.013 0.237
562944 -0.004 0.251
563712 -0.001 0.058
564480 -0.01 0.251
565248 -0.011 0.259
566016 -0.001 0.051
566784 -0.003 0.225
567552 0.006 0.205
568320 -0.0 0.06
569088 -0.013 0.246
569856 -0.007 0.241
570624 -0.001 0.059
571392 -0.002 0.247
572160 -0.001 0.211
572928 -0.001 0.061
573696 0.003 0.228
574464 0.001 0.231
575232 -0.006 0.064
576000 -0.006 0.223
576768 0.013 0.205
577536 -0.002 0.064
578304 -0.002 0.227
579072 -0.013 0.256
579840 0.0 0.07
580608 -0.001 0.237
581376 -0.008 0.219
582144 -0.001 0.058
582912 -0.004 0.222
583680 0.006 0.227
584448 0.001 0.054
585216 -0.001 0.249
585984 -0.002 0.219
586752 0.001 0.06
587520 -0.011 0.239
588288 -0.003 0.227
589056 0.003 0.06
589824 0.0 0.22
590592 0.01 0.201
591360 0.001 0.059
592128 -0.004 0.208
592896 0.002 0.223
593664 0.004 0.066
594432 0.003 0.225
595200 0.009 0.207
595968 0.003 0.056
596736 -0.006 0.239
597504 0.005 0.233
598272 -0.001 0.057
599040 0.008 0.24
599808 -0.002 0.21
600576 0.005 0.064
601344 0.02 0.236
602112 0.006 0.221
602880 -0.001 0.056
603648 0.002 0.228
604416 0.005 0.223
605184 0.007 0.066
605952 0.013 0.254
606720 -0.004 0.24
607488 0.001 0.06
608256 -0.005 0.243
609024 0.005 0.22
609792 0.004 0.06
610560 0.0 0.236
611328 -0.001 0.241
612096 0.003 0.06
612864 0.008 0.226
613632 0.005 0.223
614400 -0.002 0.059
615168 -0.002 0.113
615936 -0.001 0.125
616704 -0.001 0.039
617472 0.008 0.239
618240 0.002 0.202
619008 0.002 0.054
619776 0.009 0.244
620544 -0.002 0.225
621312 -0.0 0.059
622080 -0.002 0.256
622848 -0.002 0.21
623616 0.002 0.057
624384 -0.002 0.2
625152 -0.002 0.244
625920 -0.002 0.045
626688 0.002 0.192
627456 0.027 0.414
628224 -0.001 0.031
628992 0.001 0.259
629760 0.001 0.239
630528 0.004 0.062
631296 -0.006 0.223
632064 -0.004 0.215
632832 -0.001 0.056
633600 -0.013 0.235
634368 -0.005 0.192
635136 -0.001 0.059
635904 -0.003 0.255
636672 -0.001 0.255
637440 -0.003 0.052
638208 -0.024 0.243
638976 -0.003 0.305
639744 0.0 0.046
640512 0.011 0.248
641280 0.005 0.235
642048 0.003 0.06
642816 0.014 0.255
643584 0.008 0.259
644352 0.002 0.057
645120 -0.006 0.239
645888 0.004 0.241
646656 0.001 0.054
647424 -0.0 0.243
648192 0.008 0.254
648960 -0.002 0.061
649728 0.0 0.252
650496 0.008 0.255
651264 -0.003 0.06
652032 0.004 0.227
652800 -0.007 0.219
653568 0.003 0.062
654336 -0.005 0.25
655104 -0.01 0.202
655872 -0.001 0.053
656640 -0.004 0.219
657408 0.005 0.199
658176 -0.002 0.054
658944 0.005 0.249
659712 -0.0 0.212
660480 0.001 0.063
661248 0.002 0.252
662016 0.005 0.239
662784 -0.001 0.062
663552 -0.003 0.234
664320 -0.001 0.225
665088 -0.005 0.062
665856 0.02 0.227
666624 -0.004 0.265
667392 -0.001 0.054
668160 0.004 0.255
668928 0.007 0.312
669696 -0.001 0.05
670464 0.007 0.247
671232 0.003 0.215
672000 -0.0 0.062
672768 -0.0 0.223
673536 -0.009 0.209
674304 0.002 0.06
675072 -0.007 0.223
675840 -0.004 0.237
676608 -0.005 0.054
677376 -0.003 0.246
678144 0.0 0.261
678912 -0.004 0.056
679680 0.009 0.245
680448 0.006 0.226
681216 -0.005 0.062
681984 -0.004 0.232
682752 0.006 0.228
683520 0.001 0.058
684288 -0.004 0.259
685056 0.002 0.27
685824 -0.001 0.053
686592 0.005 0.246
687360 0.009 0.216
688128 0.003 0.061
688896 0.001 0.248
689664 0.015 0.25
690432 0.005 0.056
691200 0.009 0.24
691968 0.007 0.214
692736 -0.002 0.056
693504 -0.017 0.195
694272 0.016 0.475
695040 0.001 0.032
695808 -0.001 0.234
696576 0.006 0.255
697344 0.003 0.062
698112 -0.006 0.253
698880 0.012 0.221
699648 -0.0 0.064
700416 0.005 0.244
701184 -0.014 0.242
701952 0.002 0.06
702720 -0.009 0.245
703488 0.001 0.248
704256 0.0 0.058
705024 -0.009 0.251
705792 -0.007 0.242
706560 0.002 0.051
707328 0.004 0.246
708096 -0.003 0.239
708864 0.003 0.059
709632 0.004 0.258
710400 -0.002 0.251
711168 -0.0 0.061
711936 0.01 0.197
712704 -0.006 0.367
713472 0.0 0.038
714240 0.001 0.216
715008 0.005 0.219
715776 -0.003 0.058
716544 -0.007 0.244
717312 -0.008 0.245
718080 0.0 0.055
718848 -0.008 0.218
719616 -0.016 0.329
720384 -0.001 0.048
721152 -0.008 0.229
721920 -0.005 0.222
722688 -0.001 0.059
723456 -0.007 0.251
724224 -0.006 0.244
724992 -0.001 0.061
725760 -0.0 0.165
726528 -0.019 0.556
727296 -0.001 0.047
728064 0.007 0.243
728832 -0.005 0.232
729600 -0.001 0.061
730368 0.001 0.258
731136 -0.004 0.211
731904 0.001 0.05
732672 -0.007 0.226
733440 0.005 0.222
734208 -0.0 0.057
734976 -0.003 0.243
735744 0.009 0.241
736512 0.003 0.056
737280 0.013 0.229
738048 -0.003 0.214
738816 0.002 0.06
739584 -0.017 0.182
740352 -0.008 0.399
741120 0.002 0.037
741888 0.008 0.237
742656 0.006 0.236
743424 0.003 0.063
744192 0.017 0.235
744960 0.018 0.229
745728 0.001 0.065
746496 -0.004 0.245
747264 0.007 0.194
748032 0.001 0.058
748800 0.01 0.231
749568 0.006 0.216
750336 -0.002 0.06
751104 -0.003 0.233
751872 -0.005 0.212
752640 -0.001 0.06
753408 -0.0 0.19
754176 0.006 0.227
754944 -0.001 0.075
755712 -0.02 0.249
756480 -0.007 0.237
757248 -0.0 0.066
758016 0.017 0.25
758784 -0.005 0.226
759552 0.0 0.064
760320 -0.004 0.244
761088 -0.006 0.251
761856 0.003 0.063
762624 0.003 0.241
763392 0.002 0.237
764160 0.002 0.057
764928 0.015 0.251
765696 -0.005 0.247
766464 0.004 0.061
767232 -0.01 0.239
768000 0.001 0.239
768768 0.002 0.056
769536 0.008 0.246
770304 0.006 0.229
771072 -0.005 0.058
771840 -0.004 0.228
772608 -0.012 0.23
773376 -0.004 0.054
774144 0.011 0.247
774912 -0.013 0.229
775680 0.005 0.06
776448 0.013 0.256
777216 0.005 0.205
777984 0.0 0.06
778752 -0.008 0.244
779520 0.003 0.243
780288 0.001 0.056
781056 0.001 0.223
781824 0.007 0.211
782592 -0.002 0.06
783360 0.013 0.255
784128 -0.008 0.213
784896 0.001 0.059
785664 -0.005 0.247
786432 0.004 0.238
787200 0.002 0.057
787968 -0.005 0.242
788736 -0.002 0.254
789504 0.003 0.06
790272 0.007 0.247
791040 -0.001 0.234
791808 -0.001 0.059
792576 0.003 0.262
793344 0.016 0.219
794112 -0.003 0.062
794880 -0.006 0.24
795648 0.014 0.23
796416 -0.006 0.063
797184 -0.001 0.252
797952 0.006 0.246
798720 -0.002 0.056
799488 0.004 0.232
800256 -0.003 0.216
801024 0.0 0.056
801792 0.009 0.229
802560 -0.002 0.205
803328 -0.001 0.058
804096 0.015 0.233
804864 0.007 0.225
805632 -0.001 0.054
806400 0.0 0.241
807168 0.009 0.225
807936 0.002 0.06
808704 0.008 0.253
809472 0.009 0.241
810240 0.001 0.058
811008 -0.003 0.218
811776 0.007 0.324
812544 -0.0 0.051
813312 0.011 0.249
814080 0.006 0.248
814848 0.006 0.057
815616 0.016 0.223
816384 0.004 0.176
817152 0.002 0.063
817920 0.004 0.245
818688 0.007 0.244
819456 0.003 0.055
820224 0.005 0.239
820992 -0.0 0.231
821760 -0.001 0.062
822528 0.013 0.157
823296 -0.016 0.462
824064 -0.002 0.026
824832 0.005 0.232
825600 -0.005 0.221
826368 -0.001 0.061
827136 -0.002 0.237
827904 0.011 0.236
828672 -0.002 0.054
829440 -0.006 0.255
830208 0.006 0.241
830976 -0.0 0.064
831744 -0.016 0.242
832512 -0.004 0.211
833280 0.0 0.068
834048 0.002 0.229
834816 0.004 0.388
835584 0.001 0.048
836352 0.002 0.189
837120 -0.0 0.233
837888 0.002 0.062
838656 -0.014 0.236
839424 -0.015 0.25
840192 0.001 0.06
840960 -0.003 0.235
841728 -0.008 0.243
842496 -0.0 0.055
843264 -0.004 0.235
844032 0.006 0.312
844800 0.003 0.05
845568 0.006 0.26
846336 -0.003 0.226
847104 -0.003 0.061
847872 -0.004 0.233
848640 -0.001 0.232
849408 0.003 0.055
850176 0.0 0.241
850944 0.015 0.234
851712 0.003 0.061
852480 0.007 0.232
853248 0.007 0.225
854016 -0.002 0.062
854784 -0.005 0.25
855552 0.001 0.215
856320 0.001 0.063
857088 0.013 0.231
857856 -0.001 0.25
858624 0.0 0.052
859392 0.019 0.231
860160 0.006 0.215
860928 -0.002 0.058
861696 0.001 0.113
862464 0.004 0.123
863232 -0.001 0.046
864000 0.001 0.187
864768 -0.021 0.547
865536 0.0 0.04
866304 -0.002 0.242
867072 -0.003 0.213
867840 0.001 0.061
868608 0.002 0.234
869376 0.002 0.195
870144 0.0 0.055
870912 -0.011 0.212
871680 0.012 0.297
872448 0.0 0.055
873216 -0.002 0.235
873984 -0.013 0.212
874752 0.001 0.055
875520 0.009 0.258
876288 0.015 0.238
877056 0.005 0.061
877824 -0.006 0.231
878592 -0.007 0.229
879360 0.001 0.054
880128 0.01 0.242
880896 -0.011 0.231
881664 0.001 0.062
882432 -0.011 0.234
883200 -0.007 0.222
883968 -0.0 0.058
884736 0.021 0.243
885504 0.004 0.188
886272 -0.001 0.066
887040 -0.008 0.224
887808 0.004 0.185
888576 0.002 0.063
889344 0.005 0.239
890112 -0.004 0.193
890880 -0.001 0.053
891648 -0.001 0.226
892416 0.001 0.187
893184 0.001 0.059
893952 0.002 0.245
894720 0.002 0.253
895488 0.001 0.057
896256 0.002 0.221
897024 -0.006 0.225
897792 -0.0 0.055
898560 -0.007 0.206
899328 -0.0 0.309
900096 -0.0 0.055
900864 0.005 0.246
901632 0.002 0.233
902400 -0.001 0.058
903168 0.004 0.248
903936 -0.008 0.242
904704 0.0 0.057
905472 -0.0 0.242
906240 -0.006 0.221
907008 -0.0 0.06
907776 0.004 0.239
908544 -0.004 0.17
909312 -0.005 0.055
910080 0.006 0.23
910848 0.01 0.191
911616 0.005 0.058
912384 0.01 0.235
913152 -0.003 0.242
913920 0.001 0.057
914688 0.006 0.237
915456 -0.002 0.207
916224 -0.001 0.059
916992 -0.008 0.228
917760 0.007 0.245
918528 -0.002 0.057
919296 0.009 0.249
920064 -0.003 0.252
920832 -0.003 0.057
921600 0.001 0.241
922368 -0.002 0.252
923136 0.001 0.06
923904 0.004 0.232
924672 0.0 0.231
925440 -0.003 0.058
926208 0.002 0.245
926976 -0.007 0.24
927744 -0.001 0.056
928512 0.006 0.216
929280 0.033 0.385
930048 -0.002 0.036
930816 0.007 0.243
931584 -0.005 0.234
932352 0.001 0.06
933120 0.002 0.246
933888 -0.004 0.249
