task_id,attempt_number,run_id,start_time,end_time,verifier_outcome,reward,scoreable,classification,retry_of,trace_path,incident_ref,notes
financial-document-processor,1,financial-document-processor__hJzG5Bh,2026-08-26T23:29:59.246274Z,2026-08-26T23:53:27.712409Z,completed,1.0,True,pass,,traces/financial-document-processor__hJzG5Bh,,
financial-document-processor,2,financial-document-processor__JERq7Qh,2026-08-28T19:50:20.356025Z,2026-08-28T20:14:48.383456Z,completed,1.0,True,pass,financial-document-processor__hJzG5Bh,traces/financial-document-processor__JERq7Qh,,
fix-code-vulnerability,1,fix-code-vulnerability__BRQ2JDe,2026-08-27T15:03:55.016225Z,2026-08-27T15:08:07.388029Z,completed,1.0,True,pass,,traces/fix-code-vulnerability__BRQ2JDe,,
fix-code-vulnerability,2,fix-code-vulnerability__RXUQcYK,2026-08-29T12:15:12.559907Z,2026-08-29T12:20:43.630062Z,completed,1.0,True,pass,fix-code-vulnerability__BRQ2JDe,traces/fix-code-vulnerability__RXUQcYK,,
fix-git,1,fix-git__Y72HSKD,2026-08-27T11:34:14.297060Z,2026-08-27T11:48:32.372803Z,completed,0.0,True,model_fail,,traces/fix-git__Y72HSKD,,
fix-git,2,fix-git__ZQk3fd4,2026-08-29T08:53:06.386469Z,2026-08-29T08:56:10.361498Z,completed,1.0,True,pass,fix-git__Y72HSKD,traces/fix-git__ZQk3fd4,,
fix-ocaml-gc,1,fix-ocaml-gc__ZNZ732u,2026-08-26T15:40:58.070393Z,2026-08-26T16:11:26.501967Z,completed,1.0,True,pass,,traces/fix-ocaml-gc__ZNZ732u,,
fix-ocaml-gc,2,fix-ocaml-gc__jmVy2GB,2026-08-28T12:02:01.269144Z,2026-08-28T12:20:24.717243Z,completed,1.0,True,pass,fix-ocaml-gc__ZNZ732u,traces/fix-ocaml-gc__jmVy2GB,,
gcode-to-text,1,gcode-to-text__PPtVWgA,2026-08-26T16:11:26.695948Z,2026-08-26T16:59:27.487107Z,completed,0.0,True,model_fail,,traces/gcode-to-text__PPtVWgA,,
gcode-to-text,2,gcode-to-text__7X8Fk5a,2026-08-28T12:20:25.012423Z,2026-08-28T13:08:25.633873Z,completed,0.0,True,model_fail,gcode-to-text__PPtVWgA,traces/gcode-to-text__7X8Fk5a,,
git-leak-recovery,1,git-leak-recovery__vgdBDvG,2026-08-27T12:10:19.407359Z,2026-08-27T12:15:54.964172Z,completed,1.0,True,pass,,traces/git-leak-recovery__vgdBDvG,,
git-leak-recovery,2,git-leak-recovery__uz8cD9B,2026-08-29T09:17:30.210972Z,2026-08-29T09:19:39.667319Z,completed,1.0,True,pass,git-leak-recovery__vgdBDvG,traces/git-leak-recovery__uz8cD9B,,
git-multibranch,1,git-multibranch__gFgmxFo,2026-08-27T07:23:10.465234Z,2026-08-27T07:39:51.156694Z,completed,1.0,True,pass,,traces/git-multibranch__gFgmxFo,,
git-multibranch,2,git-multibranch__x2tWQuZ,2026-08-29T05:56:01.142344Z,2026-08-29T06:10:11.182916Z,completed,1.0,True,pass,git-multibranch__gFgmxFo,traces/git-multibranch__x2tWQuZ,,
gpt2-codegolf,1,gpt2-codegolf__QKyUPmp,2026-08-26T07:40:43.586215Z,2026-08-26T08:29:13.109734Z,completed,0.0,True,model_fail,,traces/gpt2-codegolf__QKyUPmp,,
gpt2-codegolf,2,gpt2-codegolf__MaxCJKe,2026-08-28T04:13:36.822835Z,2026-08-28T05:01:38.590599Z,completed,0.0,True,model_fail,gpt2-codegolf__QKyUPmp,traces/gpt2-codegolf__MaxCJKe,,
headless-terminal,1,headless-terminal__3ifvgA8,2026-08-27T14:08:53.911157Z,2026-08-27T14:25:53.716737Z,completed,1.0,True,pass,,traces/headless-terminal__3ifvgA8,,
headless-terminal,2,headless-terminal__i64cnNS,2026-08-29T11:17:19.507030Z,2026-08-29T11:42:30.454720Z,completed,1.0,True,pass,headless-terminal__3ifvgA8,traces/headless-terminal__i64cnNS,,
hf-model-inference,1,hf-model-inference__jUZJYoH,2026-08-26T20:21:10.262942Z,2026-08-26T20:24:53.452969Z,completed,1.0,True,pass,,traces/hf-model-inference__jUZJYoH,,
hf-model-inference,2,hf-model-inference__nMA9mEc,2026-08-28T16:33:41.906408Z,2026-08-28T16:38:45.409083Z,completed,1.0,True,pass,hf-model-inference__jUZJYoH,traces/hf-model-inference__nMA9mEc,,
install-windows-3.11,1,install-windows-3.11__prHaZ2S,2026-08-26T23:53:27.897625Z,2026-08-27T00:36:39.147673Z,completed,1.0,True,pass,,traces/install-windows-3.11__prHaZ2S,,
install-windows-3.11,2,install-windows-3.11__MeywDYW,2026-08-28T20:14:48.544985Z,2026-08-28T23:25:52.215269Z,completed,0.0,True,model_fail,install-windows-3.11__prHaZ2S,traces/install-windows-3.11__MeywDYW,,
kv-store-grpc,1,kv-store-grpc__EN6wmon,2026-08-25T21:09:42.854227Z,2026-08-25T21:13:55.651967Z,completed,1.0,True,pass,,traces/kv-store-grpc__EN6wmon,,
kv-store-grpc,2,kv-store-grpc__HqCUPwv,2026-08-27T17:09:21.441011Z,2026-08-27T17:12:08.676230Z,completed,1.0,True,pass,kv-store-grpc__EN6wmon,traces/kv-store-grpc__HqCUPwv,,
large-scale-text-editing,1,large-scale-text-editing__KHTRyh5,2026-08-27T02:43:16.247082Z,2026-08-27T03:18:55.044781Z,completed,1.0,True,pass,,traces/large-scale-text-editing__KHTRyh5,,
large-scale-text-editing,2,large-scale-text-editing__hTNrfBD,2026-08-29T01:34:51.471621Z,2026-08-29T01:53:54.281436Z,completed,1.0,True,pass,large-scale-text-editing__KHTRyh5,traces/large-scale-text-editing__hTNrfBD,,
largest-eigenval,1,largest-eigenval__L4PAZL4,2026-08-27T02:00:19.077091Z,2026-08-27T02:43:16.042176Z,completed,1.0,True,pass,,traces/largest-eigenval__L4PAZL4,,
largest-eigenval,2,largest-eigenval__LpUz5YM,2026-08-29T00:53:20.493480Z,2026-08-29T01:34:51.304511Z,completed,1.0,True,pass,largest-eigenval__L4PAZL4,traces/largest-eigenval__LpUz5YM,,
llm-inference-batching-scheduler,1,llm-inference-batching-scheduler__CZcgbFD,2026-08-26T04:22:21.909420Z,2026-08-26T04:54:16.809144Z,completed,1.0,True,pass,,traces/llm-inference-batching-scheduler__CZcgbFD,,
llm-inference-batching-scheduler,2,llm-inference-batching-scheduler__3TNwcRB,2026-08-28T00:36:45.896434Z,2026-08-28T01:10:56.857524Z,completed,1.0,True,pass,llm-inference-batching-scheduler__CZcgbFD,traces/llm-inference-batching-scheduler__3TNwcRB,,
log-summary-date-ranges,1,log-summary-date-ranges__EYsSMnq,2026-08-26T00:36:53.049898Z,2026-08-26T00:39:43.883687Z,completed,1.0,True,pass,,traces/log-summary-date-ranges__EYsSMnq,,
log-summary-date-ranges,2,log-summary-date-ranges__ikkppv6,2026-08-27T21:34:42.830358Z,2026-08-27T21:37:09.230189Z,completed,1.0,True,pass,log-summary-date-ranges__EYsSMnq,traces/log-summary-date-ranges__ikkppv6,,
mailman,1,mailman__StabW8j,2026-08-27T12:33:01.239138Z,2026-08-27T14:08:53.689413Z,completed,1.0,True,pass,,traces/mailman__StabW8j,,
mailman,2,mailman__aXcJsVT,2026-08-29T09:41:28.414619Z,2026-08-29T11:17:19.206188Z,completed,1.0,True,pass,mailman__StabW8j,traces/mailman__aXcJsVT,,
make-doom-for-mips,1,make-doom-for-mips__JpHhnCD,2026-08-26T11:38:35.895415Z,2026-08-26T12:23:30.678572Z,completed,0.0,True,model_fail,,traces/make-doom-for-mips__JpHhnCD,,
make-doom-for-mips,2,make-doom-for-mips__97vfJTi,2026-08-28T07:39:11.704418Z,2026-08-28T08:11:32.041766Z,completed,0.0,True,model_fail,make-doom-for-mips__JpHhnCD,traces/make-doom-for-mips__97vfJTi,,
make-mips-interpreter,1,make-mips-interpreter__YoY4YcV,2026-08-26T21:47:12.369781Z,2026-08-26T22:26:21.550211Z,completed,0.0,True,model_fail,,traces/make-mips-interpreter__YoY4YcV,,
make-mips-interpreter,2,make-mips-interpreter__ZLW4gDB,2026-08-28T17:49:01.387552Z,2026-08-28T18:33:47.280776Z,completed,0.0,True,model_fail,make-mips-interpreter__YoY4YcV,traces/make-mips-interpreter__ZLW4gDB,,
mcmc-sampling-stan,1,mcmc-sampling-stan__nFAVSQm,2026-08-26T07:09:11.477465Z,2026-08-26T07:40:43.199940Z,completed,1.0,True,pass,,traces/mcmc-sampling-stan__nFAVSQm,,
mcmc-sampling-stan,2,mcmc-sampling-stan__uambVgV,2026-08-28T03:53:00.918646Z,2026-08-28T04:13:36.616229Z,completed,1.0,True,pass,mcmc-sampling-stan__nFAVSQm,traces/mcmc-sampling-stan__uambVgV,,
merge-diff-arc-agi-task,1,merge-diff-arc-agi-task__NyjDyyY,2026-08-26T06:01:46.491946Z,2026-08-26T06:11:43.306212Z,completed,1.0,True,pass,,traces/merge-diff-arc-agi-task__NyjDyyY,,
merge-diff-arc-agi-task,2,merge-diff-arc-agi-task__hVrwzfb,2026-08-28T02:48:08.592401Z,2026-08-28T02:52:31.323398Z,completed,1.0,True,pass,merge-diff-arc-agi-task__NyjDyyY,traces/merge-diff-arc-agi-task__hVrwzfb,,
model-extraction-relu-logits,1,model-extraction-relu-logits__ffpTSJ7,2026-08-26T00:39:44.030611Z,2026-08-26T01:20:18.620843Z,completed,1.0,True,pass,,traces/model-extraction-relu-logits__ffpTSJ7,,
model-extraction-relu-logits,2,model-extraction-relu-logits__dBRhJRv,2026-08-27T21:37:09.531012Z,2026-08-27T22:15:49.853557Z,completed,0.0,True,model_fail,model-extraction-relu-logits__ffpTSJ7,traces/model-extraction-relu-logits__dBRhJRv,,
modernize-scientific-stack,1,modernize-scientific-stack__vG2E5zE,2026-08-27T12:07:10.580316Z,2026-08-27T12:10:19.222696Z,completed,1.0,True,pass,,traces/modernize-scientific-stack__vG2E5zE,,
modernize-scientific-stack,2,modernize-scientific-stack__THBKrGi,2026-08-29T09:15:34.045013Z,2026-08-29T09:17:30.060844Z,completed,1.0,True,pass,modernize-scientific-stack__vG2E5zE,traces/modernize-scientific-stack__THBKrGi,,
mteb-leaderboard,1,mteb-leaderboard__f5gP4nc,2026-08-26T03:52:22.600554Z,2026-08-26T04:22:21.610598Z,completed,1.0,True,pass,,traces/mteb-leaderboard__f5gP4nc,,
mteb-leaderboard,2,mteb-leaderboard__HFDvAAY,2026-08-28T00:05:41.518870Z,2026-08-28T00:36:45.662983Z,completed,1.0,True,pass,mteb-leaderboard__f5gP4nc,traces/mteb-leaderboard__HFDvAAY,,
mteb-retrieve,1,mteb-retrieve__2xqZJ9D,2026-08-26T09:57:16.350489Z,2026-08-26T10:06:17.383409Z,completed,1.0,True,pass,,traces/mteb-retrieve__2xqZJ9D,,
mteb-retrieve,2,mteb-retrieve__v2VSuQP,2026-08-28T06:12:41.322011Z,2026-08-28T06:17:04.910637Z,completed,1.0,True,pass,mteb-retrieve__2xqZJ9D,traces/mteb-retrieve__v2VSuQP,,
multi-source-data-merger,1,multi-source-data-merger__x2gnrpH,2026-08-27T07:39:51.298881Z,2026-08-27T07:44:53.062537Z,completed,1.0,True,pass,,traces/multi-source-data-merger__x2gnrpH,,
multi-source-data-merger,2,multi-source-data-merger__uoDHBku,2026-08-29T06:10:11.477917Z,2026-08-29T06:20:17.894582Z,completed,1.0,True,pass,multi-source-data-merger__x2gnrpH,traces/multi-source-data-merger__uoDHBku,,
nginx-request-logging,1,nginx-request-logging__tk49qyY,2026-08-26T11:33:03.179685Z,2026-08-26T11:38:35.525244Z,completed,1.0,True,pass,,traces/nginx-request-logging__tk49qyY,,
nginx-request-logging,2,nginx-request-logging__Qu8ueCk,2026-08-28T07:32:03.820581Z,2026-08-28T07:39:11.330456Z,completed,1.0,True,pass,nginx-request-logging__tk49qyY,traces/nginx-request-logging__Qu8ueCk,,
openssl-selfsigned-cert,1,openssl-selfsigned-cert__XiRR6cG,2026-08-25T22:49:52.321206Z,2026-08-25T22:55:08.025434Z,completed,1.0,True,pass,,traces/openssl-selfsigned-cert__XiRR6cG,,
openssl-selfsigned-cert,2,openssl-selfsigned-cert__Jy2ANRW,2026-08-27T19:28:45.136887Z,2026-08-27T19:34:15.769440Z,completed,1.0,True,pass,openssl-selfsigned-cert__XiRR6cG,traces/openssl-selfsigned-cert__Jy2ANRW,,
overfull-hbox,1,overfull-hbox__5oSuDBy,2026-08-26T18:28:29.350407Z,2026-08-26T19:05:37.242505Z,completed,1.0,True,pass,,traces/overfull-hbox__5oSuDBy,,
overfull-hbox,2,overfull-hbox__MWepHuW,2026-08-28T14:19:30.741222Z,2026-08-28T14:42:13.772309Z,completed,1.0,True,pass,overfull-hbox__5oSuDBy,traces/overfull-hbox__MWepHuW,,
password-recovery,1,password-recovery__EPCpa7R,2026-08-26T22:26:21.740117Z,2026-08-26T22:41:32.008321Z,completed,1.0,True,pass,,traces/password-recovery__EPCpa7R,,
password-recovery,2,password-recovery__hy899FN,2026-08-28T18:33:47.457536Z,2026-08-28T18:45:06.760486Z,completed,1.0,True,pass,password-recovery__EPCpa7R,traces/password-recovery__hy899FN,,
path-tracing,1,path-tracing__dc2LdiV,2026-08-26T01:20:18.787068Z,2026-08-26T02:36:09.706137Z,completed,0.0,True,model_fail,,traces/path-tracing__dc2LdiV,,
path-tracing,2,path-tracing__mjkTJU4,2026-08-27T22:15:50.262431Z,2026-08-27T22:51:31.263695Z,completed,1.0,True,pass,path-tracing__dc2LdiV,traces/path-tracing__mjkTJU4,,
path-tracing-reverse,1,path-tracing-reverse__DrxNSir,2026-08-27T04:59:56.538147Z,2026-08-27T06:35:33.639185Z,completed,0.0,True,model_fail,,traces/path-tracing-reverse__DrxNSir,,
path-tracing-reverse,2,path-tracing-reverse__yXMfPTW,2026-08-29T03:29:08.344428Z,2026-08-29T05:04:48.656946Z,completed,0.0,True,model_fail,path-tracing-reverse__DrxNSir,traces/path-tracing-reverse__yXMfPTW,,
polyglot-c-py,1,polyglot-c-py__RmzuUS9,2026-08-27T00:36:39.303572Z,2026-08-27T00:55:45.758579Z,completed,1.0,True,pass,,traces/polyglot-c-py__RmzuUS9,,
polyglot-c-py,2,polyglot-c-py__TbE59TJ,2026-08-28T23:25:52.598421Z,2026-08-28T23:52:33.861594Z,completed,1.0,True,pass,polyglot-c-py__RmzuUS9,traces/polyglot-c-py__TbE59TJ,,
polyglot-rust-c,1,polyglot-rust-c__VzAJ45r,2026-08-27T07:51:45.740900Z,2026-08-27T08:10:52.191334Z,completed,1.0,True,pass,,traces/polyglot-rust-c__VzAJ45r,,
polyglot-rust-c,2,polyglot-rust-c__J7q2mgL,2026-08-29T06:25:31.082878Z,2026-08-29T06:50:28.397752Z,completed,1.0,True,pass,polyglot-rust-c__VzAJ45r,traces/polyglot-rust-c__J7q2mgL,,
portfolio-optimization,1,portfolio-optimization__BYmH8Uy,2026-08-27T15:08:07.809339Z,2026-08-27T15:21:39.735342Z,completed,1.0,True,pass,,traces/portfolio-optimization__BYmH8Uy,,
portfolio-optimization,2,portfolio-optimization__ukWSsZx,2026-08-29T12:20:44.003971Z,2026-08-29T12:38:26.077715Z,completed,1.0,True,pass,portfolio-optimization__BYmH8Uy,traces/portfolio-optimization__ukWSsZx,,
protein-assembly,1,protein-assembly__qHHQCmX,2026-08-27T10:16:08.976893Z,2026-08-27T11:15:46.616597Z,completed,0.0,True,model_fail,,traces/protein-assembly__qHHQCmX,,
protein-assembly,2,protein-assembly__3zYVGsL,2026-08-29T07:45:48.059482Z,2026-08-29T08:35:12.941360Z,completed,0.0,False,infra_invalid,protein-assembly__qHHQCmX,traces/protein-assembly__3zYVGsL,incidents.jsonl:protein-assembly:protein-assembly__3zYVGsL,"infra_exc:apiratelimiterror | command failed (exit 1): set -euo pipefail
export path=""/tmp/penguin/bin:$home/.local/bin:$path""
export penguin_home=""/logs/agent/penguin-home""
export penguin_update_check=off
expo"
protein-assembly,3,protein-assembly__AjmtJxx,2026-08-29T12:40:25.812429Z,2026-08-29T13:48:39.678386Z,completed,0.0,True,model_fail,protein-assembly__3zYVGsL,traces/protein-assembly__AjmtJxx,,
